model,distance,width,graph_seed,init_seed,test_acc,matched_influence,distractor_influence,specificity,best_epoch
GraphSAGE,10,1,1,11,0.5725911458333334,0.012059997505275533,0.012033953171339817,0.5005404745216797,39
GraphSAGE,10,1,1,29,0.5696614583333334,0.01472051558084786,0.01453510919236578,0.5031687306101474,22
GraphSAGE,10,1,1,47,0.5703125,0.011428584257373586,0.011429700083681382,0.4999755924965519,36
GraphSAGE,10,1,2,11,0.5729166666666666,0.012773800721333828,0.012663961198995821,0.502158985560084,34
GraphSAGE,10,1,2,29,0.5677083333333334,0.01266064564356384,0.01312033158825443,0.4910847843055106,25
GraphSAGE,10,1,2,47,0.568359375,0.009365720608911943,0.008805462457530666,0.515416116504409,69
GraphSAGE,10,1,3,11,0.5764973958333334,0.012026746277115308,0.012124310320359655,0.49798012886420656,41
GraphSAGE,10,1,3,29,0.576171875,0.00041262367398076094,0.00038849065202839483,0.5150621578835466,14
GraphSAGE,10,1,3,47,0.5732421875,0.0015973352589639944,0.0014899673834634086,0.5173886215413903,16
GraphSAGE,10,1,4,11,0.5654296875,0.020819531745758013,0.015863099675868853,0.5675582949841474,73
GraphSAGE,10,1,4,29,0.5791015625,0.013281533916597255,0.013027287903241813,0.5048319535950115,20
GraphSAGE,10,1,4,47,0.5686848958333334,0.013959557377802412,0.011410743758005992,0.5502322302965983,59
GraphSAGE,10,1,5,11,0.5657552083333334,0.011306128988508135,0.011424101743614301,0.4974049371189564,32
GraphSAGE,10,1,5,29,0.5641276041666666,0.01361500594066456,0.013437654502922669,0.5032778927068036,27
GraphSAGE,10,1,5,47,0.5638020833333334,0.011256107623921707,0.011204952810658142,0.5011387443707362,37
GraphSAGERewired,10,1,1,11,1.0,0.004558968803394237,6.31556336949668e-08,0.9999861469201687,4
GraphSAGERewired,10,1,1,29,1.0,0.029454531060764566,3.2528291582512026e-07,0.9999889565268282,4
GraphSAGERewired,10,1,1,47,1.0,0.0013994723562973377,1.9660640537821905e-07,0.9998595329249438,4
GraphSAGERewired,10,1,2,11,1.0,0.05409742915071547,6.498334863547228e-07,0.9999879878454366,5
GraphSAGERewired,10,1,2,29,1.0,0.03531383669178467,5.696253005949004e-07,0.9999838698604908,4
